Eng,Kor,Ver
Platinum Scarf of Slaying,백금 공격대 스카프,
Platinum Ring of Slaying,백금 공격대 반지,
Kirimu Tricorne,키리무 삼각모자,
Kirimu Coat,키리무 외투,
Kirimu Bracers,키리무 손보호구,
Kirimu Brais,키리무 바지,
Kirimu Boots of Aiming,키리무 유격대 장화,
Arachne Sash,아라크네 장식띠,
Platinum Bangles of Aiming,백금 유격대 장식고리,
Platinum Earrings of Aiming,백금 유격대 귀걸이,
Platinum Scarf of Aiming,백금 유격대 스카프,
Platinum Ring of Aiming,백금 유격대 반지,
Platinum Circlet of Healing,백금 치유사 머리장식,
Arachne Robe,아라크네 로브,
Kirimu Gloves of Healing,키리무 치유사 장갑,
Arachne Culottes of Healing,아라크네 치유사 치마바지,
Kirimu Boots of Healing,키리무 치유사 장화,
Kirimu Belt of Healing,키리무 치유사 허리띠,
Platinum Bangles of Healing,백금 치유사 장식고리,
Platinum Earrings of Healing,백금 치유사 귀걸이,
Platinum Scarf of Healing,백금 치유사 스카프,
Platinum Ring of Healing,백금 치유사 반지,
Platinum Circlet of Casting,백금 마술사 머리장식,
Arachne Bolero,아라크네 볼레로,
Kirimu Gloves of Casting,키리무 마술사 장갑,
Arachne Culottes of Casting,아라크네 마술사 치마바지,
Kirimu Boots of Casting,키리무 마술사 장화,
Kirimu Belt of Casting,키리무 마술사 허리띠,
Platinum Bangles of Casting,백금 마술사 장식고리,
Platinum Earrings of Casting,백금 마술사 귀걸이,
Platinum Scarf of Casting,백금 마술사 스카프,
Platinum Ring of Casting,백금 마술사 반지,
Wootz Shield,우츠강 방패,
Wootz Scimitar,우츠강 시미터,
Wootz Knuckles,우츠강 너클,
Wootz Bhuj,우츠강 굽은날도끼,
Wootz Spear,우츠강 창,
Ebony Longbow,흑단나무 장궁,
Wootz Daggers,우츠강 단검,
Ebony Cane,흑단나무 지팡이,
Ebony Staff,흑단나무 주술봉,
Kirimu Grimoire,키리무 마법서,
Kirimu Codex,키리무 치유서,
Lionliege Armet,사자군주 철갑투구,
Lionliege Cuirass,사자군주 전투흉갑,
Lionliege Gauntlets,사자군주 건틀릿,
Lionliege Breeches,사자군주 바지,
Lionliege Sabatons,사자군주 판금장화,
Lionliege Belt,사자군주 허리띠,
Hawkliege Armet,매군주 철갑투구,
Hawkliege Cyclas,매군주 도복,
Hawkliege Gauntlets,매군주 건틀릿,
Hawkliege Gaskins,매군주 무릎바지,
Hawkliege Boots,매군주 장화,
Hawkliege Belt,매군주 허리띠,
Bearliege Armet,곰군주 철갑투구,
Bearliege Cuirass,곰군주 전투흉갑,
Bearliege Gauntlets,곰군주 건틀릿,
Bearliege Hose,곰군주 기마바지,
Bearliege Sabatons,곰군주 판금장화,
Bearliege Belt,곰군주 허리띠,
Snakeliege Helm,뱀군주 투구,
Snakeliege Scale Mail,뱀군주 미늘갑옷,
Snakeliege Gauntlets,뱀군주 건틀릿,
Snakeliege Brais,뱀군주 반바지,
Snakeliege Greaves,뱀군주 갑주장화,
Snakeliege Belt,뱀군주 허리띠,
Birdliege Mask,새군주 가면,
Birdliege Coat,새군주 외투,
Birdliege Gloves,새군주 장갑,
Birdliege Breeches,새군주 바지,
Birdliege Boots,새군주 장화,
Birdliege Belt,새군주 허리띠,
Swanliege Hood,백조군주 두건,
Swanliege Coat,백조군주 외투,
Swanliege Armguards,백조군주 팔보호구,
Swanliege Hose,백조군주 기마바지,
Swanliege Boots,백조군주 장화,
Swanliege Belt,백조군주 허리띠,
Wolfliege Hat,늑대군주 모자,
Wolfliege Coat,늑대군주 외투,
Wolfliege Long Gloves,늑대군주 긴 장갑,
Wolfliege Brais,늑대군주 반바지,
Wolfliege Thighboots,늑대군주 허벅지장화,
Wolfliege Belt,늑대군주 허리띠,
Elkliege Hat,사슴군주 모자,
Elkliege Robe,사슴군주 로브,
Elkliege Gloves,사슴군주 장갑,
Elkliege Slops,사슴군주 일자바지,
Elkliege Thighboots,사슴군주 허벅지장화,
Elkliege Belt,사슴군주 허리띠,
Elklord Hat,사슴영주 모자,
Elklord Robe,사슴영주 로브,
Elklord Gloves,사슴영주 장갑,
Elklord Slops,사슴영주 일자바지,
Elklord Thighboots,사슴영주 허벅지장화,
Elklord Belt,사슴영주 허리띠,
Batliege Okabuto,박쥐군주 투구,
Batliege Osode,박쥐군주 갑옷,
Batliege Kote,박쥐군주 팔보호대,
Batliege Haidate,박쥐군주 허리갑옷,
Batliege Sune-ate,박쥐군주 정강이받이,
Batliege Kawa-obi,박쥐군주 허리띠,
Werewolf Bracelet of Fending,늑대인간 수호자 팔찌,
Werewolf Earrings of Fending,늑대인간 수호자 귀걸이,
Werewolf Choker of Fending,늑대인간 수호자 목장식,
Werewolf Ring of Fending,늑대인간 수호자 반지,
Werewolf Bracelet of Slaying,늑대인간 공격대 팔찌,
Werewolf Earrings of Slaying,늑대인간 공격대 귀걸이,
Werewolf Choker of Slaying,늑대인간 공격대 목장식,
Werewolf Ring of Slaying,늑대인간 공격대 반지,
Werewolf Bracelet of Aiming,늑대인간 유격대 팔찌,
Werewolf Earrings of Aiming,늑대인간 유격대 귀걸이,
Werewolf Choker of Aiming,늑대인간 유격대 목장식,
Werewolf Ring of Aiming,늑대인간 유격대 반지,
Werewolf Bracelet of Healing,늑대인간 치유사 팔찌,
Werewolf Earrings of Healing,늑대인간 치유사 귀걸이,
Werewolf Choker of Healing,늑대인간 치유사 목장식,
Werewolf Ring of Healing,늑대인간 치유사 반지,
Werewolf Bracelet of Casting,늑대인간 마술사 팔찌,
Werewolf Earrings of Casting,늑대인간 마술사 귀걸이,
Werewolf Choker of Casting,늑대인간 마술사 목장식,
Werewolf Ring of Casting,늑대인간 마술사 반지,
Lionliege Shield,사자군주 방패,
Lionliege Blade,사자군주 검,
Hawkliege Claws,매군주 서슬발톱,
Bearliege Axe,곰군주 도끼,
Snakeliege Spear,뱀군주 창,
Birdliege Bow,새군주 활,
Batliege Soto,박쥐군주 쌍검,
Swanliege Cane,백조군주 지팡이,
Wolfliege Staff,늑대군주 주술봉,
Elkliege Grimoire,사슴군주 마법서,
Elklord Grimoire,사슴영주 마법서,
Bronze Daggers,단검,
Bronze Knives,나이프,
Brass Daggers,황동 단검,
Aetherial Brass Knives,에테르 깃든 황동 나이프,
Aetherial Iron Daggers,에테르 깃든 철제 단검,
Doctore's Stilettos,교관의 스틸레토,
Serpent Private's Baselards,그리다니아 사병의 바젤라드,
Storm Private's Baselards,림사 로민사 사병의 바젤라드,
Flame Private's Baselards,울다하 사병의 바젤라드,
Steel Daggers,강철 단검,
Aetherial Steel Daggers,에테르 깃든 강철 단검,
Antares Needles,안타레스의 독침,
Cracked Daggers,오래된 단검,
Aetherial Steel Knives,에테르 깃든 강철 나이프,
Heart Snatchers,심장 강탈자,
Serpent Private's Daggers,그리다니아 사병의 단검,
Storm Private's Daggers,림사 로민사 사병의 단검,
Flame Private's Daggers,울다하 사병의 단검,
Aetherial Steel Baselards,에테르 깃든 강철 바젤라드,
Banos Del Sol,일광의 단검,
Aetherial Mythril Knives,에테르 깃든 미스릴 나이프,
Maddening Daggers,광란의 단검,
Gridanian Pugiones,그리다니아 푸기오,
Lominsan Pugiones,림사 로민사 푸기오,
Ul'dahn Pugiones,울다하 푸기오,
Mythril Baselards,미스릴 바젤라드,
Aetherial Mythril Baselards,에테르 깃든 미스릴 바젤라드,
Gridanian Stilettos,그리다니아 스틸레토,
Lominsan Stilettos,림사 로민사 스틸레토,
Ul'dahn Stilettos,울다하 스틸레토,
Jambiyas,잔비야,
Aetherial Mythril Pugiones,에테르 깃든 미스릴 푸기오,
Serpent Sergeant's Knives,그리다니아 부사관의 나이프,
Storm Sergeant's Knives,림사 로민사 부사관의 나이프,
Flame Sergeant's Knives,울다하 부사관의 나이프,
Canopus Stilettos,카노푸스 스틸레토,
Darklight Baselards,어둠빛 바젤라드,
Serpent Officer's Knives,그리다니아 장교의 나이프,
Storm Officer's Knives,림사 로민사 장교의 나이프,
Flame Officer's Machetes,울다하 장교의 마체테,
Vamper's Knives,요부의 나이프,
Giantsgall Cleavers,거인석 살육도,
Misericordes,자비로운 죽음,
Ifrit's Kris,이프리트 쌍검,
Garuda's Plumes,가루다의 송곳니,
Mortal Mogknives,모그모그 나이프,
Cleavers of Crags,타이탄 살육도,
Wave Kris,리바이어선 쌍검,
Tidal Wave Kris,급류의 쌍검,
Thundersparks,천둥의 쌍검,
Inferno Kris,지옥불 쌍검,
Plumes of the Vortex,돌풍의 깃털,
Tremor Cleavers,지진의 살육도,
Mortal Moggle Mogknives,모그루 모그 나이프,
Storm Elite's Kris,림사 로민사 정예병의 쌍검,
Serpent Elite's Knives,그리다니아 정예병의 나이프,
Flame Elite's Machetes,울다하 정예병의 마체테,
Air Knives,공기의 나이프,
Wolf Pugiones,늑대 푸기오,
Warwolf Daggers,전투늑대 단검,
Direwolf Cleavers,다이어울프 살육도,
Batsight Soto,박쥐 쌍검,
Weathered Vajras,낡은 금강저검,
Vajras,금강저검,
Allagan Daggers,알라그 단검,
High Allagan Cleavers,상급 알라그 살육도,
Yoshimitsu Zenith,요시미츠: 제니스,
Yoshimitsu Atma,요시미츠: 아트마,
Yoshimitsu Animus,요시미츠: 아니무스,
Yoshimitsu Novus,요시미츠: 노우스,
Yoshimitsu Nexus,요시미츠: 넥서스,
Sphere Scroll: Yoshimitsu,천공의 두루마리: 요시미츠,
Ninja Garb Augmentation,닌자의 의복 보강재,
Augmented Ninja Hatsuburi,보강된 닌자의 복면,
Augmented Ninja Chainmail,보강된 닌자의 사슬갑옷,
Augmented Ninja Hakama,보강된 닌자의 주름바지,
Augmented Ninja Tekko,보강된 닌자의 완갑,
Augmented Ninja Kyahan,보강된 닌자의 각반,
Batsight Okabuto,박쥐 투구,
Batsight Osode,박쥐 갑옷,
Batsight Kote,박쥐 팔보호대,
Batsight Haidate,박쥐 허리갑옷,
Batsight Sune-ate,박쥐 정강이받이,
Batsight Kawa-obi,박쥐 허리띠,
Hitsuji Kabuto,양 투구,
Black Hitsuji Kabuto,흑칠 양 투구,
Crimson Hitsuji Kabuto,주칠 양 투구,
White Hitsuji Kabuto,백칠 양 투구,
Starlight Sugarloaf Hat,별빛 고깔모자,
Starlight Tunic,별빛 튜닉,
Starlight Tights,눈송이 쫄바지,
Starlight Boots,눈송이 장화,
Yellow Fallen Star,노란색 별빛 조약돌,
Blue Fallen Star,파란색 별빛 조약돌,
Red Fallen Star,빨간색 별빛 조약돌,
Green Fallen Star,초록색 별빛 조약돌,
Premium Starlight Gift Bag,최고급 별빛 선물,
Red Starlight Gift Bag,빨간색 별빛 선물,
Green Starlight Gift Bag,초록색 별빛 선물,
Best Man's Jacket,신랑 들러리 재킷,
Best Man's Slacks,신랑 들러리 바지,
Best Man's Gaiters,신랑 들러리 구두,
Bridesmaid's Dress,신부 들러리 드레스,
Bridesmaid's Tights,신부 들러리 타이츠,
Bridesmaid's Sandals,신부 들러리 샌들,
Plain Long Skirt,긴치마,
False Mustache,가짜 콧수염,
Gryphonskin Eyepatch,히포그리프 안대,
The Emperor's New Necklace,임금님의 목걸이,
The Emperor's New Earrings,임금님의 귀걸이,
The Emperor's New Bracelet,임금님의 팔찌,
The Emperor's New Ring,임금님의 반지,
Imperial Shadow Visor,제국의 그림자 얼굴가리개,
Minstrel's Spectacles,예인의 안경,
Classic Spectacles,뿔테 안경,
Imitation Mistbeard Mask,모조품 안개수염 가면,
Artisan's Mitts,장인의 벙어리장갑,
Artisan's Culottes,장인의 치마바지,
Artisan's Sandals,장인의 샌들,
Forager's Vest,탐색자의 조끼,
Forager's Wristguards,탐색자의 손목보호구,
Forager's Slops,탐색자의 일자바지,
Forager's Shoes,탐색자의 신발,
Artisan's Claw Hammer,장인의 장도리,
Artisan's File,장인의 줄판,
Artisan's Pliers,장인의 플라이어,
Artisan's Grinding Wheel,장인의 연삭기,
Artisan's Awl,장인의 목타,
Artisan's Spinning Wheel,장인의 물레,
Artisan's Mortar,장인의 약연,
Artisan's Culinary Knife,장인의 요리칼,
Forager's Sledgehammer,탐색자의 채굴망치,
Forager's Scythe,탐색자의 큰낫,
The Best Gown Ever,최고의 가운,
Bluebird Earring,파랑새 귀걸이,
Coblyn Earring,코브란 귀걸이,
Magitek Torch (Blue Lotus),마도 조명봉: 푸른 연꽃,
Magitek Torch (Yellow Lotus),마도 조명봉: 노란 연꽃,
Carpentry for Beginners,목수 입문서,
Blacksmithing for Beginners,대장장이 입문서,
Armoring for Beginners,갑주제작 입문서,
Goldsmithing for Beginners,보석공예 입문서,
Leatherworking for Beginners,가죽공예 입문서,
Weaving for Beginners,재봉 입문서,
Alchemy for Beginners,연금술 입문서,
Cooking for Beginners,요리 입문서,
Triple Cream Coffee,비엔나 커피,
Bacon Bread,베이컨빵,
Flint Caviar,흑진주 캐비어,
Shark Fin Soup,상어지느러미 수프,
Haddock Dip,대구알 샐러드,
Bacon Broth,베이컨 수프,
Master Carpenter II,목수의 비전서: 제2권,
Master Blacksmith II,대장장이의 비전서: 제2권,
Master Armorer II,갑주제작사의 비전서: 제2권,
Master Goldsmith II,보석공예가의 비전서: 제2권,
Master Leatherworker II,가죽공예가의 비전서: 제2권,
Master Weaver II,재봉사의 비전서: 제2권,
Master Alchemist II,연금술사의 비전서: 제2권,
Master Culinarian II,요리사의 비전서: 제2권,
Wind-up Ultros,오르트로스 인형,
Hoary the Snowman,눈사람 인형,
Heavy Hatchling,통통 초코보,
Fat Cat,뚱냥이,
Littlefoot,리틀풋,
Mummy's Little Mummy,작은 미라,
Assassin Fry,암살치어,
Water Imp,꼬마 물요정,
Wind-up Louisoix,루이수아 인형,
Parade Chocobo Whistle,행진대 초코보 호루라기,
Boreas Whistle,보레아스 호루라기,
Ice Barding,시바 갑주,
Quick-hardening Sealant,강력접합제,
Xelphatol Spring Water,젤파톨 천연수,
Wootz Ingot,우츠강 주괴,
Platinum Nugget,백금 덩어리,
Platinum Ingot,백금 주괴,
Kirimu Leather,키리무 가죽,
Arachne Velveteen,아라크네 우단,
Allagan Wootz Nugget,알라그 우츠강 덩어리,
Allagan Leather,알라그 키메라 가죽,
Allagan Silk,알라그 섬유,
Borax,붕사,
Arachne Web,아라크네 거미줄,
Wootz Ore,우츠강 광석,
Raziqsap,아브달라지크의 영약,
Dubbin,가죽 광택제,
Smoked Bacon,훈제 베이컨,
Roasted Coffee Beans,볶은 커피콩,
Enchanted Platinum Ink,백금 마법 잉크,
Bloody Knife Blades,피 묻은 칼날,
Mossy Stone Daggers,이끼 낀 돌조각,
Allagan Catalyst,알라그 마촉매,
Ice Tear,시바의 눈물,
Diamond Tear,얼음신 시바의 눈물,
Syrcus Shard,시르쿠스의 수정 기둥,
Burning Auricle,바하무트의 핵 파편,
Master Rogue's Ring,전문 쌍검사 반지,
Rogue's Ring,쌍검사 반지,
Rowena's Token (Poetics),로웨나의 증서: 시학,
Encrypted Tomestone,암호화 석판,
Carboncoat,알라그 경화약,
Carbontwine,알라그 강화섬유,
Antique Helm,골동품 투구,
Antique Mail,골동품 갑옷,
Antique Gauntlets,골동품 건틀릿,
Antique Breeches,골동품 바지,
Antique Sollerets,골동품 쇠구두,
Antique Tassets,골동품 허리갑옷,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Fat Chocobo Head,뚱보초코보 탈,
Misericorde Blades,자비로운 죽음의 칼날,
Level 2 Aetherial Wheel Stand,에테르 충전대 II,
Level 3 Aetherial Wheel Stand,에테르 충전대 III,
Level 4 Aetherial Wheel Stand,에테르 충전대 IV,
Level 5 Aetherial Wheel Stand,에테르 충전대 V,
Level 6 Aetherial Wheel Stand,에테르 충전대 VI,
Ironworks Mask of Scouting,갈론드 정찰대 가면,
Ironworks Corselet of Scouting,갈론드 정찰대 흉갑,
Ironworks Vambraces of Scouting,갈론드 정찰대 완갑,
Ironworks Brais of Scouting,갈론드 정찰대 바지,
Ironworks Leg Guards of Scouting,갈론드 정찰대 다리보호구,
Ironworks Belt of Scouting,갈론드 정찰대 허리띠,
Augmented Ironworks Mask of Scouting,보강된 갈론드 정찰대 가면,
Augmented Ironworks Corselet of Scouting,보강된 갈론드 정찰대 흉갑,
Augmented Ironworks Vambraces of Scouting,보강된 갈론드 정찰대 완갑,
Augmented Ironworks Brais of Scouting,보강된 갈론드 정찰대 바지,
Augmented Ironworks Leg Guards of Scouting,보강된 갈론드 정찰대 다리보호구,
Augmented Ironworks Belt of Scouting,보강된 갈론드 정찰대 허리띠,
Dreadwyrm Circlet of Scouting,바하무트 정찰대 머리장식,
Dreadwyrm Cyclas of Scouting,바하무트 정찰대 도복,
Dreadwyrm Bracers of Scouting,바하무트 정찰대 손보호구,
Dreadwyrm Slops of Scouting,바하무트 정찰대 일자바지,
Dreadwyrm Boots of Scouting,바하무트 정찰대 장화,
Dreadwyrm Sash of Scouting,바하무트 정찰대 장식띠,
Arachne Bandana of Scouting,아라크네 정찰대 머리띠,
Arachne Shirt of Scouting,아라크네 정찰대 셔츠,
Arachne Field Dressing of Scouting,아라크네 정찰대 손붕대,
Arachne Gaskins of Scouting,아라크네 정찰대 무릎바지,
Kirimu Sandals of Scouting,키리무 정찰대 샌들,
Kirimu Belt of Scouting,키리무 정찰대 허리띠,
Excalibur,엑스칼리버,
Kaiser Knuckles,카이저 너클,
Ragnarok,라그나로크,
Longinus,롱기누스,
Yoichi Bow,요이치의 활,
Nirvana,니르바나,
Lilith Rod,릴리스의 지팡이,
Apocalypse,아포칼립스,
Last Resort,라스트 리조트,
Aegis Shield,이지스,
Sasuke's Blades,사스케의 칼,
Magicked Prism (Petals),마법의 프리즘: 꽃보라,
Magicked Prism (Bubbles),마법의 프리즘: 비누거품,
Magicked Prism (Balloon),마법의 프리즘: 풍선 띄우기,
Magicked Prism (Heart),마법의 프리즘: 낭만의 풍선,
Book of Skylight,황도십이문서: 성천,
Zodium,조디악 물질,
Zodiac Scroll,조디악 두루마리,
Flawless Alexandrite,순수한 알렉산드라이트,
Furnace Ring,불꽃의 반지,
Perfect Firewood,고급 장작,
Perfect Mortar,고급 막자사발,
Perfect Pestle,고급 막자,
Perfect Vellum,고급 양피지,
Perfect Pounce,고급 정착제,
Tailor-made Eel Pie,특제 장어 파이,
Perfect Cloth,고급 포목,
Cypress Log,측백나무 원목,
Pumice,부석,
,,
Belah'dian Silver,벨라흐디아 은,
Aged Eye of Fire,오래된 열화석,
Aged Spear Shaft,오래된 창 손잡이,
Aged Mortar Pieces,오래된 막자사발 부품,
Aged Pestle Pieces,오래된 막자 머리,
Aged Vellum,오래된 양피지,
Dried Ether,분말 에테르,
Vintage Cooking Sherry,비장의 요리용 포도주,
Stained Cloth,오래된 천조각,
Aged Ring,오래된 반지,
Aged Spear,오래된 랜스,
Aged Mortar,오래된 막자사발,
Aged Pestle,오래된 막자,
Aged Grimoire,오래된 마도서,
Aged Phial,오래된 약병,
Aged Decanter,오래된 술병,
Aged Robe,오래된 법의,
Bronze Lake Crystal,청동 크리스탈,
Bombard Core,화염 괴수의 심장핵,
Sacred Spring Water,영봉의 샘물,
Magicked Prism (Wings),마법의 프리즘: 월광의 날개,
Allagan Resin,알라그 수지,
Furite Sand,전쟁신의 모래,
Brass Kettle,황동 주전자,
Promise of Innocence (Standard),순수의 서약 팔찌(스탠다드),
Promise of Passion (Gold),정열의 서약 팔찌(골드),
Promise of Devotion (Platinum),영원의 서약 팔찌(플래티넘),
Shiva's Diamond Shield,빙결의 방패,
Shiva's Diamond Brand,빙결의 검,
Shiva's Diamond Claws,빙결의 서슬발톱,
Shiva's Diamond Axe,빙결의 도끼,
Shiva's Diamond Spear,빙결의 창,
Shiva's Diamond Bow,빙결의 활,
Shiva's Diamond Daggers,빙결의 단검,
Shiva's Diamond Cane,빙결의 지팡이,
Shiva's Diamond Rod,빙결의 주술봉,
Shiva's Diamond Grimoire,빙결의 마법서,
Shiva's Diamond Codex,빙결의 치유서,
Diamond Dust,얼음신의 빙정,
Proof of Covering,교배 등록증,
Fledgling Chocobo Registration G1-M,신입 초코보 등록증: 1등급 수컷,
Fledgling Chocobo Registration G2-M,신입 초코보 등록증: 2등급 수컷,
Fledgling Chocobo Registration G3-M,신입 초코보 등록증: 3등급 수컷,
Fledgling Chocobo Registration G4-M,신입 초코보 등록증: 4등급 수컷,
Fledgling Chocobo Registration G5-M,신입 초코보 등록증: 5등급 수컷,
Fledgling Chocobo Registration G6-M,신입 초코보 등록증: 6등급 수컷,
Fledgling Chocobo Registration G7-M,신입 초코보 등록증: 7등급 수컷,
Fledgling Chocobo Registration G8-M,신입 초코보 등록증: 8등급 수컷,
Fledgling Chocobo Registration G9-M,신입 초코보 등록증: 9등급 수컷,
Fledgling Chocobo Registration G1-F,신입 초코보 등록증: 1등급 암컷,
Fledgling Chocobo Registration G2-F,신입 초코보 등록증: 2등급 암컷,
Fledgling Chocobo Registration G3-F,신입 초코보 등록증: 3등급 암컷,
Fledgling Chocobo Registration G4-F,신입 초코보 등록증: 4등급 암컷,
Fledgling Chocobo Registration G5-F,신입 초코보 등록증: 5등급 암컷,
Fledgling Chocobo Registration G6-F,신입 초코보 등록증: 6등급 암컷,
Fledgling Chocobo Registration G7-F,신입 초코보 등록증: 7등급 암컷,
Fledgling Chocobo Registration G8-F,신입 초코보 등록증: 8등급 암컷,
Fledgling Chocobo Registration G9-F,신입 초코보 등록증: 9등급 암컷,
Retired Chocobo Registration G1-M,은퇴 초코보 등록증: 1등급 수컷,
Retired Chocobo Registration G2-M,은퇴 초코보 등록증: 2등급 수컷,
Retired Chocobo Registration G3-M,은퇴 초코보 등록증: 3등급 수컷,
Retired Chocobo Registration G4-M,은퇴 초코보 등록증: 4등급 수컷,
Retired Chocobo Registration G5-M,은퇴 초코보 등록증: 5등급 수컷,
Retired Chocobo Registration G6-M,은퇴 초코보 등록증: 6등급 수컷,
Retired Chocobo Registration G7-M,은퇴 초코보 등록증: 7등급 수컷,
Retired Chocobo Registration G8-M,은퇴 초코보 등록증: 8등급 수컷,
Retired Chocobo Registration G9-M,은퇴 초코보 등록증: 9등급 수컷,
Retired Chocobo Registration G1-F,은퇴 초코보 등록증: 1등급 암컷,
Retired Chocobo Registration G2-F,은퇴 초코보 등록증: 2등급 암컷,
Retired Chocobo Registration G3-F,은퇴 초코보 등록증: 3등급 암컷,
Retired Chocobo Registration G4-F,은퇴 초코보 등록증: 4등급 암컷,
Retired Chocobo Registration G5-F,은퇴 초코보 등록증: 5등급 암컷,
Retired Chocobo Registration G6-F,은퇴 초코보 등록증: 6등급 암컷,
Retired Chocobo Registration G7-F,은퇴 초코보 등록증: 7등급 암컷,
Retired Chocobo Registration G8-F,은퇴 초코보 등록증: 8등급 암컷,
Retired Chocobo Registration G9-F,은퇴 초코보 등록증: 9등급 암컷,
Covering Permission G1-M,교배용 초코보 권리증: 1등급 수컷,
Covering Permission G2-M,교배용 초코보 권리증: 2등급 수컷,
Covering Permission G3-M,교배용 초코보 권리증: 3등급 수컷,
Covering Permission G4-M,교배용 초코보 권리증: 4등급 수컷,
Covering Permission G5-M,교배용 초코보 권리증: 5등급 수컷,
Covering Permission G6-M,교배용 초코보 권리증: 6등급 수컷,
Covering Permission G7-M,교배용 초코보 권리증: 7등급 수컷,
Covering Permission G8-M,교배용 초코보 권리증: 8등급 수컷,
Covering Permission G9-M,교배용 초코보 권리증: 9등급 수컷,
Covering Permission G1-F,교배용 초코보 권리증: 1등급 암컷,
Covering Permission G2-F,교배용 초코보 권리증: 2등급 암컷,
Covering Permission G3-F,교배용 초코보 권리증: 3등급 암컷,
Covering Permission G4-F,교배용 초코보 권리증: 4등급 암컷,
Covering Permission G5-F,교배용 초코보 권리증: 5등급 암컷,
Covering Permission G6-F,교배용 초코보 권리증: 6등급 암컷,
Covering Permission G7-F,교배용 초코보 권리증: 7등급 암컷,
Covering Permission G8-F,교배용 초코보 권리증: 8등급 암컷,
Covering Permission G9-F,교배용 초코보 권리증: 9등급 암컷,
Grade 1 Feed - Speed Blend,초코보 먹이: 속도 1,
Grade 2 Feed - Speed Blend,초코보 먹이: 속도 2,
Grade 3 Feed - Special Speed Blend,특제 초코보 먹이: 속도 3,
Grade 1 Feed - Acceleration Blend,초코보 먹이: 가속 1,
Grade 2 Feed - Acceleration Blend,초코보 먹이: 가속 2,
Grade 3 Feed - Special Acceleration Blend,특제 초코보 먹이: 가속 3,
Grade 1 Feed - Balance Blend,초코보 먹이: 적응 1,
Grade 2 Feed - Balance Blend,초코보 먹이: 적응 2,
Grade 3 Feed - Special Balance Blend,특제 초코보 먹이: 적응 3,
Grade 1 Feed - Endurance Blend,초코보 먹이: 체력 1,
Grade 2 Feed - Endurance Blend,초코보 먹이: 체력 2,
Grade 3 Feed - Special Endurance Blend,특제 초코보 먹이: 체력 3,
Grade 1 Feed - Stamina Blend,초코보 먹이: 지구력 1,
Grade 2 Feed - Stamina Blend,초코보 먹이: 지구력 2,
Grade 3 Feed - Special Stamina Blend,특제 초코보 먹이: 지구력 3,
Antiquated Chaos Burgeonet,낡은 혼돈의 경장투구,
Antiquated Chaos Cuirass,낡은 혼돈의 전투흉갑,
Antiquated Chaos Gauntlets,낡은 혼돈의 건틀릿,
Antiquated Chaos Flanchard,낡은 혼돈의 허벅지갑옷,
Antiquated Chaos Sollerets,낡은 혼돈의 쇠구두,
Antiquated Machinist's Goggles,낡은 기계공 고글,
Antiquated Machinist's Shirt,낡은 기계공 셔츠,
Antiquated Machinist's Gloves,낡은 기계공 장갑,
Antiquated Machinist's Brais,낡은 기계공 바지,
Antiquated Machinist's Boots,낡은 기계공 장화,
Antiquated Welkin Hat,낡은 밤하늘 모자,
Antiquated Welkin Robe,낡은 밤하늘 로브,
Antiquated Welkin Half Sleeves,낡은 밤하늘 반소매장갑,
Antiquated Welkin Breeches,낡은 밤하늘 바지,
Antiquated Welkin Shoes,낡은 밤하늘 신발,
Auri Harness,아우라 멜빵갑옷,
Auri Armguards,아우라 팔보호구,
Auri Breeches,아우라 바지,
Auri Sandals,아우라 샌들,
Auri Gown,아우라 가운,
Auri Halfgloves,아우라 손등장갑,
Auri Pantalettes,아우라 레이스 속바지,
Auri Buskins,아우라 반장화,
Grade 2 Wheel of Confrontation,2등급 교련의 에테르석,
Grade 2 Wheel of Productivity,2등급 수련의 에테르석,
Grade 2 Wheel of Industry,2등급 단련의 에테르석,
Grade 2 Wheel of Longeing,2등급 특훈의 에테르석,
Grade 2 Wheel of Rivalry,2등급 전적의 에테르석,
Grade 2 Wheel of Company,2등급 무훈의 에테르석,
Grade 2 Wheel of Initiation,2등급 신병의 에테르석,
Grade 2 Wheel of Capacity,2등급 달견의 에테르석,
Grade 2 Wheel of Observation,2등급 박식의 에테르석,
Grade 2 Wheel of Efficiency,2등급 장인의 에테르석,
Grade 2 Wheel of Precision,2등급 거장의 에테르석,
Grade 2 Wheel of Dedication,2등급 결속의 에테르석,
Grade 2 Wheel of Nutriment,2등급 미식의 에테르석,
Grade 2 Wheel of Permanence,2등급 내구의 에테르석,
Grade 2 Wheel of Swiftness,2등급 질풍의 에테르석,
Grade 2 Wheel of Pilgrimage,2등급 유랑의 에테르석,
Grade 3 Wheel of Confrontation,3등급 교련의 에테르석,
Grade 3 Wheel of Productivity,3등급 수련의 에테르석,
Grade 3 Wheel of Industry,3등급 단련의 에테르석,
Grade 3 Wheel of Longeing,3등급 특훈의 에테르석,
Grade 3 Wheel of Rivalry,3등급 전적의 에테르석,
